,Id,Name,Zone,Description,Tel,Add,Region,Town,Travellinginfo,Opentime,Picdescribe1,Px,Py,Orgclass,Ticketinfo,Remarks,Keyword,seg
96,96,菸樓文化聚落,,菸樓文化聚落是國際慢城-鳳林的特色之一，也是全臺保留最完整的菸樓群，外觀呈現和洋風格的菸樓，像是童話故事般會出現的建築。每逢農曆七月時，這裡開始舉辦鳳林菸樓迷路-百鬼夜行祭，不僅吸引各地觀光客、年輕人參加，也成為專屬鳳林菸樓的創意活動。菸樓建於日治時期，當時菸葉被稱作綠金，是高經濟價值的作物，菸樓的數量成為富裕程度的指標。菸樓的形式可分為大阪式與廣島式2種，而鳳林菸樓幾乎都是大阪式的。大阪式菸樓的排煙口凸出屋頂，既高且大，排煙效果較好，但是因為受風面較大，因此遇到颱風時容易被吹壞；廣島式菸樓則剛好相反，排煙口緊貼屋頂，雖然比較不怕颱風，卻容易發生火災。來到鳳林這座慢城小鎮，除了一嚐在地小吃、走走校長夢工廠之外，不妨走入大榮一村、二村，欣賞鳳林獨特的菸樓群，或是到菸樓圖書館，了解當年菸葉的風華...,886-3-8875306,花蓮縣975鳳林鎮大榮里及北林里,花蓮縣,鳳林鎮,,建議白天前往參觀,徐家興菸樓是保存完整的菸樓之一,121.45681,23.7443,,免費,1.建議白天前往參觀，避免打擾到居民休息2.農曆七月時，會舉辦鳳林菸樓迷路-百鬼夜行祭的活動,,"['鳳林', '大阪', '樓群', '成為', '廣島式', '排煙口', '屋頂', '國際', '慢城', '外觀', '現和洋', '風格', '童話', '般會', '出現', '建築', '這裡', '開始舉', '辦鳳林', '百鬼', '不僅', '觀光客', '輕人', '參加', '專屬', '創意', '活動', '樓建', '日治', '時期', '當時', '稱作', '綠金', '高經濟', '價值', '數量', '指標', '而鳳林', '幾乎', '既高且', '排煙', '因為', '受風面', '風時', '樓則', '剛好', '緊貼', '雖然', '這座', '慢城小鎮']"
97,97,箭瑛公園,,鳳林鎮大榮里與山興里之間隔著花蓮溪，自古以來枯水期時，這兒僅有一座竹子搭的便橋供人通行。民國66年夏天，因為颱風過境，竹橋被洪水沖毀。當時服務於山興國小的教務主任陳國義與張箭、鄧玉瑛、林寶炫等3位老師為了到校上課，即使河水湍急，他們仍手牽著手打算渡河。不幸在途中失足落水，其中張箭與鄧玉瑛2位老師更不幸溺斃殉職。當年這個消息撼動全國，大家均極為感佩偏遠地區教師們堅毅奉獻的精神，時任行政院長的蔣經國先生得知此一消息後，決定撥款興建一座水泥大橋，改善山興里的對外聯絡交通，並將此橋命名為「箭瑛大橋」，以紀念張箭與鄧玉瑛這兩位因公犧牲生命的老師。後來，這個故事被拍攝成電影「箭瑛大橋」後，兩位老師為學子犧牲奉獻的偉大精神更是家喻戶曉，連帶的也提高了鳳林地區的知名度。鳳林鎮公所為了紀念張箭與鄧玉瑛兩位老師...,886-3-8875306,花蓮縣975鳳林鎮,花蓮縣,鳳林鎮,,全天,箭瑛公園,121.49118,23.73134,,免費,,,"['張箭', '鄧玉瑛', '大橋', '老師', '鳳林鎮', '山興里', '位老師', '這個', '奉獻', '箭瑛', '犧牲', '兩位', '不幸', '失足落水', '一座', '大榮里', '之間', '隔著', '花蓮溪', '以來', '這兒僅', '橋供', '民國', '66', '因為', '過境', '竹橋', '當時', '服務', '山興國', '教務', '國義與', '林寶炫', '上課', '他們', '仍手', '牽著手', '溺斃', '殉職', '當年', '撼動', '全國', '極為', '偏遠', '地區', '教師們', '堅毅', '時任', '蔣經國', '決定']"
98,98,瑞穗泛舟服務中心,,說到花東地區的水域活動，最具知名度也最刺激的非「秀姑巒溪泛舟」莫屬了。在民國70年代，秀姑巒溪就已成為國內泛舟活動的首選之地。每到夏天泛舟旺季，從瑞穗大橋至長虹橋，全程24公里的泛舟河段上，只見一艘艘紅艷艷的橡皮艇將整段河道妝點得綺麗動人。20多處難度不一的激流與險灘，帶給泛舟遊客充滿驚險與刺激的難忘旅遊經驗，而秀姑巒溪沿途的峽谷與奇岩等自然美景，無不烙印在泛舟客的心頭，久久難以忘懷。沿著溪畔繞山而行的瑞港公路上，更有數不清的廂型車，來回穿梭於兩地之間接駁載客。東海岸國家風景區管理處在瑞穗大橋南側的秀姑巒溪畔，設立了瑞穗泛舟服務中心。在這棟仿原住民傳統建築外觀的服務中心裡，除了介紹秀姑巒溪泛舟河段的生態資源、提供遊客泛舟相關資訊、播放泛舟安全影片之外，還附設有露營區。在泛舟活動季節裡，為遊客...,886-3-8875400,花蓮縣978瑞穗鄉瑞良村中山路3段215號 (瑞穗火車站前直走大約5公里於193線88k處),花蓮縣,瑞穗鄉,,8:30 - 17:00,瑞穗泛舟服務中心,121.39985,23.48745,,,,,"['泛舟', '遊客', '姑巒', '瑞穗', '溪畔', '活動', '秀姑巒', '大橋', '服務', '河段', '原住民', '奇岩', '花東', '地區', '莫屬', '民國', '70', '為國內', '首選', '至長', '虹橋', '24', '只見', '紅艷艷', '妝點', '綺麗動', '20', '多處', '難度', '險灘', '帶給', '充滿', '驚險', '旅遊', '經驗', '而秀', '峽谷', '心頭', '難以', '忘懷', '沿著', '繞山', '瑞港', '數不清', '廂型車', '兩地', '之間', '接駁', '載客', '國家']"
99,99,瑞穗、紅葉地區溫泉,,瑞穗地區溫泉、紅葉地區溫泉與安通地區溫泉為花蓮3大溫泉區，其中略帶金黃色的瑞穗地區溫泉有著生男之泉的美名；而較靠近山區的紅葉地區溫泉，水質清澈毫無味道，這兩種歷史悠久的溫泉搭配周遭環境清幽，加上這裡也提供不同價位、風格的湯屋或溫泉民宿，深深吸引不少旅客前往泡湯，消除一身的疲憊，享受冬日獨有的幸福溫度。(圖片來源：趙家慶攝影師提供)早在1919年被日本人開發的瑞穗溫泉，當時被稱作滴翠閣，為當年數一數二的高級度假旅館。瑞穗溫泉屬於弱鹼性的「氯化物碳酸鹽泉」，當泉水中的鐵質遇到空氣氧化後，會在水面形成一層略帶鐵鏽味的黃濁色結晶物，稱為「湯花」或「溫泉花」，因此被也稱作黃金之湯。紅葉地區的溫泉因進出必須經過瑞穗鄉，隔著紅葉溪與外溫泉相對望，故有內溫泉之稱，水量豐富，四季不竭。早在日治時代即已聲名遠播...,886-3-8875306,花蓮縣978瑞穗鄉(紅葉地區的溫泉屬萬榮鄉行政區，前往需從瑞穗鄉的溫泉路往中央山脈方向，臺9線269.8K西側轉入),花蓮縣,萬榮鄉,,各家溫泉開放時間不定，建議電話詢問,紅色隧道--趙家慶,121.34467,23.49528,,,花東的溫泉享譽盛名，日式建築更添增幾分古色古香的意象。天冷時就來這兒泡泡弱鹼性的「氯化物碳酸鹽泉」瑞穗地區溫泉！,,"['溫泉', '地區', '瑞穗', '紅葉', '稱作', '安通', '花蓮', '大溫泉區', '略帶', '金黃色', '著生', '男之泉', '山區', '水質', '毫無', '這兩種', '歷史', '環境', '這裡', '價位', '風格', '湯屋', '民宿', '泡湯', '疲憊', '獨有', '溫度', '圖片', '來源', '家慶攝', '影師', '1919', '人開發', '當時', '當年', '數一數', '高級', '旅館', '溫泉屬', '鹼性', '鹽泉', '鐵質', '空氣', '一層', '稱為', '湯花', '溫泉花', '金之湯', '進出', '必須']"
100,100,北回歸線標誌公園,,北回歸線標誌公園位在瑞穗舞鶴台地，白色日晷造型的北回歸線標誌，是旅客經過舞鶴台地時必拍照的景點，而公園內周遭設有巨大茶壺造型的裝置藝術、廁所、休憩區，在公園兩側的木製迴廊中，設有許多跟天象、氣候、節氣、地球科學等相關的解說牌示，夏日時這裡還會舉辦夏至235的活動，吸引人潮前來探訪吃美食、看表演。北回歸線為紀錄太陽在北半球所能直射到距離赤道最遠的位置，位在北緯23.5度。每逢夏至的那一天，太陽就直射在北回歸線上，正午時分的「立竿不見影」，更是北回歸線上的獨特天象。在臺灣一共有3處設置北回歸線標誌，分別在嘉義水上鄉、花蓮瑞穗鄉、豐濱鄉。其中位在瑞穗的北回歸線標誌設立於1933年，放在瑞穗火車站的西側，爾後因東線鐵路拓寬才遷於現址。不過，北回歸線通過台9號省道的確實地點，其實是在目前北回歸線標誌以...,886-3-8875306,花蓮縣978瑞穗鄉舞鶴村 (臺9線大約260K東側),花蓮縣,瑞穗鄉,,詳見官網或電話洽詢,北回歸線標誌公園,121.3574,23.46573,,,,,"['北回', '歸線', '標誌', '瑞穗', '舞鶴', '設有', '太陽', '夏至', '直射', '天象', '台地', '造型', '牌示', '立竿', '公園位', '經過', '時必', '景點', '而公園', '茶壺', '裝置', '藝術', '廁所', '公園', '兩側', '許多', '氣候', '節氣', '科學', '相關', '解說', '這裡', '還會', '舉辦', '235', '活動', '前來', '探訪', '紀錄', '距離', '最遠', '北緯', '23.5', '時分', '不見影', '獨特', '處設', '分別', '嘉義', '花蓮']"
101,101,安通溫泉區,,寒冷的冬天來花東縱谷旅遊，除了欣賞沿途綿延至天際的油菜花田之外，泡溫泉消除疲勞是一大人間享受。擁有百年歷史的安通溫泉，早年以「安通濯暖」名列花蓮八景之一，接近透明的溫泉水，泉溫達66度，不論是在湯屋、溫泉民宿中泡湯或是在溪畔挖池露天泡湯，都能享受冬日獨有的溫暖。在1904年，一名採樟腦的日本人在安通溪畔發現溫泉，到了1930年，日本人在此興建警察招待所，並設置公共浴場，逐漸發展成為溫泉勝地。隨著時間過去，玉里溫泉公共浴場改名為安通溫泉大旅社，不過溫泉業者至今仍保留日治時期興建的木造平房，建築外觀與舖著榻榻米的日式房間都保存相當良好，一方寫著「玉里溫泉公共浴場」的牌子，掛在入口處的門楣上，更使得整棟建築散發出一股幽靜怡人、古色古香的氣息。來安通溫泉泡湯之外，在這附近還有一條在清朝所開闢的安通越...,886-3-8875306,花蓮縣981玉里鎮樂合里,花蓮縣,玉里鎮,,各家溫泉開放時間不定，建議電話詢問,安通溫泉，早年以「安通濯暖」名列花蓮八景之一,121.34227,23.28032,,,,,"['溫泉', '安通', '浴場', '溪畔', '玉里', '泡湯', '公共', '享受', '來花東', '縱谷', '旅遊', '欣賞', '天際', '疲勞', '人間', '擁有', '歷史', '花蓮', '泉溫', '66', '不論', '湯屋', '民宿', '中泡湯', '挖池', '獨有', '溫暖', '1904', '採樟腦', '發現', '1930', '此興建', '並設', '逐漸', '發展', '成為', '勝地', '隨著', '時間', '過去', '不過', '溫泉業者', '日治時', '期興建', '木造', '建築', '外觀', '榻榻米', '房間', '相當']"
102,102,羅山遊憩區,,羅山遊憩區以泥火山景觀、手工豆腐、羅山瀑布聞名，來到羅山遊憩區，不僅可以親自體驗用泥火山的滷水來製作豆腐，還能到附近的羅山大魚池眺望羅山瀑布，沿著步道走則可欣賞泥火山的奇觀與特有的濱海植物，感受大自然的奧妙。羅山瀑布為海岸山脈斷層地形所形成的一個瀑布，高約120公尺，分上下兩層，水量豐沛，氣勢驚人。從遠方眺望可看見羅山瀑布猶如一道細細的銀鍊，懸掛在青翠的山壁之間，再向西眺望花東縱谷平原，羅山有機村純樸的田園風光更是一覽無遺。在羅山瀑布附近的泥火山，當地人稱為「鹽坪」，噴出來的泥漿不但含有瓦斯，同時也帶有鹹味。因此羅山村的居民們，很早就知道收集從泥火山噴出來的瓦斯做為燒水煮飯的燃料，也利用泥火山的滷水製作手工豆腐，做出來的豆腐口感綿密、紮實，成為來羅山必品嘗的一道美食。,886-3-8821725,花蓮縣983富里鄉羅山村9鄰東湖39號,花蓮縣,富里鄉,,遊客中心：08:00-17:30,羅山瀑布,121.27584,23.20159,,,,,"['泥火山', '瀑布', '豆腐', '眺望', '憩區', '噴出', '瓦斯', '手工', '一道', '山遊', '景觀', '聞名', '到羅山遊', '不僅', '親自體驗', '還能', '山大魚', '沿著步', '走則', '可欣賞', '奇觀', '濱海', '奧妙', '山脈', '斷層', '一個', '高約', '120', '兩層', '豐沛', '氣勢', '驚人', '從遠方', '見羅山', '猶如', '細細', '懸掛', '之間', '花東', '谷平原', '機村', '純樸', '田園', '風光', '一覽', '在羅山', '當地', '人稱', '鹽坪', '泥漿']"
108,108,鈺展苗圃（落羽松秘境）,,經過網路瘋傳爆紅後的鈺展苗圃落羽松林，絕美程度不輸給雲山水，一到賞落羽松的季節時，整片金黃的落羽松林或是冬季落葉前的橘紅的景致，總是吸引大批人潮前來朝聖，欣賞猶如北國夢幻般的風景。每逢秋冬之際，鈺展苗圃的落羽松從翠綠漸漸轉黃，一大片金黃燦爛樹林倒映在波光粼粼的水中，與水裡優游的錦鯉相互輝映，為這番酷似北國風情的美景，增添幾分活潑的氣息。坐在水畔旁喝杯下午茶，欣賞這番如仙境般的落羽松林，或是餵食錦鯉與拿牧草餵牛，都能讓人度過愜意的午後，臨走前記得把垃圾隨手帶走，讓美景繼續留給其他人欣賞。,886-9-21798666,花蓮縣974壽豐鄉平和部落聯絡道路131號,花蓮縣,壽豐鄉,,08:00-17:00,金黃色的落羽松林,121.52529,23.89104,,清潔費50元,欣賞落羽松的最佳時刻為12月至明年1月,,"['落羽', '欣賞', '松林', '這番', '苗圃', '美景', '般的', '或是', '經過', '網路', '瘋傳', '爆紅後的鈺展', '絕美', '不輸給', '賞落', '羽松', '季節', '金黃', '落葉前', '橘紅', '總是', '前來', '朝聖', '猶如北', '國夢幻', '風景', '之際', '鈺展', '落羽松', '從翠綠漸', '漸轉', '金黃燦爛', '樹林', '波光粼粼', '水裡', '優游', '輝映', '北國', '風情', '幾分', '活潑', '氣息', '水畔', '食錦', '人度過', '愜意', '臨走', '記得', '隨手', '繼續']"
109,109,雲山水植物農場,,自從黑松汽水來這拍攝廣告後一炮而紅的雲山水，有著絕美宛如歐洲明信片上的風景，翠綠的落羽松林倒映在水中，隨著陽光灑落而呈現夢幻的光影變化，加上附近充滿童趣、像城堡般的民宿，讓人彷彿置身於國外，在一旁遼闊廣大的青青草地，更是能讓小朋友盡情奔跑，享受快樂的親子時光。到了春分時刻，栽種於夢幻湖畔的鳶尾花紛紛綻放，柔和的紫色花朵隨風在水岸旁蕩漾；秋分時節，走在小水壩上的石磚步道，聽著潺潺流水聲，欣賞眼前由綠轉黃而變得繽紛多彩的落羽松林，讓人情不自禁地沉浸在這水中森林的風景中。若是想要隨時隨地欣賞雲山水的美景，不妨來此居住一晚，看著清晨雲煙繚繞的山巒與湖畔相互輝映，或是正午艷陽高照為落羽松林鍍上一層層金光，享受雲山水獨有的歐洲風情。貼心小提醒：凡進入雲山水園區皆會收取入園費喔！,886-9-68799780,花蓮縣974壽豐鄉豐坪路二段2巷201弄88號,花蓮縣,壽豐鄉,,08:00 - 17:00,來到雲山水一定要走的石磚步道,121.5087,23.8332,,入園清潔費：1、全票120元(附50元抵用卷)2、優惠票90元(附50元抵用卷)(1)年滿65歲以上長者(2)學生(3)15人以上團體(不含愛心票)，並須前3日預約3、愛心票50元...,1.欣賞落羽松最佳時刻為12月至明年1月2.欣賞鳶尾花最佳時刻為約3月至4月,,"['落羽', '山水', '松林', '歐洲', '欣賞', '湖畔', '水中', '享受', '童趣', '潺潺流水', '自從', '黑松汽水', '這拍', '攝廣告', '而紅', '有著', '絕美', '風景', '翠綠', '隨著陽', '光灑', '現夢幻', '變化', '充滿', '民宿', '國外', '遼闊', '廣大', '盡情', '快樂', '親子', '時光', '時刻', '栽種', '夢幻', '尾花', '紛紛', '隨風', '時節', '小水壩', '石磚步', '聽著', '由綠轉', '變得繽紛', '風景中', '隨時', '隨地', '來此', '看著', '雲煙繚繞']"
110,110,興泉圳風鈴木,,每當黃花風鈴木的花季來臨時，各地紛紛出現追花狂熱，而位在光復、瑞穗交界處的興泉圳正是賞黃花風鈴木的熱門景點。長達近300公尺的黃花風鈴木花道，在3月盛開金黃色的花朵，與遠方的青山相互襯托，從潺潺流水的水圳中，看見金黃燦爛的倒影，更是美的像一幅油畫，成為近期IG、FB打卡的新興景點。來自富源蝴蝶谷的興泉圳，興建於清朝光緒年間，有著悠久的百年歷史，後續由台糖接手並在水圳兩旁種植風鈴木，每逢3月花開時節，這裡形成漫漫黃金河道，盛開的黃色花朵，倒映在一旁的水田中，吸引不少遊客來此賞花，倘佯在這美好的景色中。重要提醒：因該景點鄰近學校，交通工具勿隨意停放或停放鄰近學校(如富源國中)，並請一起維持交通的順暢喔！由於水圳周遭都是農田和叢林，賞花時須走在田埂上，一不小心可能會滑倒，建議穿防滑鞋或...,886-3-8875306,花蓮縣976光復鄉,花蓮縣,光復鄉,,全天,長達近300公尺的黃花風鈴木花道,121.3866,23.59305,,免費,欣賞黃花風鈴木最佳時刻為3月中上旬,,"['風鈴木', '興泉圳', '景點', '盛開', '水圳', '賞花', '鄰近', '學校', '富源', '停放', '花朵', '木花', '蝴蝶谷', '倘佯', '潺潺流水', '打卡', '每當黃花', '花季', '臨時', '紛紛', '出現', '追花', '狂熱', '而位', '賞黃花', '熱門', '300', '花風鈴', '金黃色', '遠方', '襯托', '水圳中', '看見', '金黃燦爛', '美的', '油畫', '成為', 'IG', 'FB', '興景點', '興建', '光緒', '年間', '有著', '歷史', '台糖', '並在', '兩旁種', '植風鈴木', '花開']"
111,111,拉索埃生態園區,,在花蓮光復糖廠的後方，還有一處鮮為人知的小秘境，那就是拉索埃湧泉生態園區，園區中共有6處湧泉，每一處生態環境維持原始自然，湛藍清澈的泉水，像是被上帝調過的顏色，更孕育出臺灣瀕臨絕種的原生水生植物-小花石龍尾，如此絕美的景點，背後有著感人的阿美族神話。相傳神鳥兜羅一直守護縱谷的居民，但牠卻被獵人所傷，幸而有拉索埃村民照料後而痊癒，然而好景不常，拉索埃村接二連三爆發乾旱與瘟疫，於是神鳥兜羅落下六滴眼淚幻化成湧泉，捨身解救村民，讓村民能夠世代豐饒、快樂的過生活。交織原始生態與阿美族神話故事的拉索埃湧泉，被選為2016年最美的秘境，隨著陽光變化折射出不同藍色的1號湧泉，有著藍色眼淚的美名，宛如臺灣版的九寨溝。而清澈見底的6號湧泉，讓人能夠坐上手划船，邊清理藻類邊近距離欣賞小花石龍尾，來一場奇幻漂流之...,886-3-8875306,花蓮縣976光復鄉大進街15巷(光復糖廠的後方),花蓮縣,光復鄉,,全天,1號湧泉，有著藍色眼淚的美名,121.42261,23.64948,,免費,,,"['拉索', '生態', '阿美族', '秘境', '埃湧泉', '園區', '石龍尾', '神話', '眼淚', '能夠', '藍色', '號湧泉', '村民', '小花', '清澈', '乾旱', '原始', '好景不常', '花蓮光', '還有', '一處', '鮮為', '人知', '處湧泉', '每一處', '環境', '維持', '湛藍', '調過', '顏色', '灣瀕臨', '絕種', '美的', '景點', '背後有', '相傳神', '守護', '縱谷', '獵人', '所傷', '埃村', '接二連', '爆發', '神鳥', '六滴', '湧泉', '豐饒', '快樂的過', '交織', '選為']"
112,112,大農大富平地森林園區,,大農大富平地森林園區為臺灣首座平地森林園區，擁有豐富的自然生態，春天賞花、夏季賞螢與賞鳥、秋冬賞楓，一年四季皆有不同風采。園區內設有北環、南環自行車道，讓人能夠邊騎單車邊吸收芬多精，幸運時還可以看見環頸雉出來覓食，聽著蟲鳴鳥叫，愜意騎車享受森林浴。被中央山脈與海岸山脈包圍的大農大富平地森林園區，視野十分遼闊，在春天時可以欣賞服務中心前繽紛多彩的花海，而廣闊的草原上放著極具巧思的裝置藝術，總是抓住旅客的目光，成為熱門拍照點。一到3、4月時，夜晚的草叢中開始有點點螢光紛飛，螢火蟲的數量多到宛若一條會移動的銀河，讓人捨不得移開目光，專心聆聽導覽員的講解，來一趟豐富的生態之旅。每到秋冬之際，南環自行車道兩旁的杜英、楓香、青楓等，逐漸由綠轉黃再變紅，不禁吸引許多人前來賞楓拍照。在南還自行車道上騎單車，...,886-3-8700870 #9,花蓮縣976光復鄉農場路31號,花蓮縣,光復鄉,,服務中心08:00-17:00，週一休息（寒暑假及國定假日除外）,大農大富平地森林遊樂區也有龍貓隧道,121.41773,23.61485,,,賞螢為3月至4月賞楓為12月至明年1月,,"['園區', '車道', '平地', '大農', '豐富', '生態', '賞楓', '南環', '山脈', '大富', '自行', '森林', '拍照', '秋冬', '春天', '目光', '杜英', '擁有', '賞花', '賞螢', '賞鳥', '風采', '內設', '北環', '能夠', '邊騎', '單車邊', '芬多精', '幸運', '時還', '看見', '環頸雉', '出來', '著蟲鳴', '愜意', '騎車', '森林浴', '包圍', '視野', '遼闊', '欣賞', '服務', '前繽紛', '而廣闊', '上放著', '極具', '裝置', '藝術', '總是', '成為']"
113,113,富興森林小火車,,富興社區為全臺最大的土鳳梨產地，每到7月至9月的鳳梨產季時，富興的鳳梨田中長滿一顆顆飽滿多汁的鳳梨，搭上輕軌小火車經過一望無際的鳳梨田，穿越樹林沿著幸福軌道抵達終點拍照留念，或是坐著農耕車牽引的列車，聽當地居民說著富興社區的故事，參觀爸爸去哪兒的1號房等拍攝地，最後再大口品嘗酸酸甜甜的土鳳梨、金鑽鳳梨，享受產地鮮採的甜美滋味。全長1314公尺的幸福軌道，是情侶、全家出遊拍照的地方，坐著富興森林小火車，邊聽司機介紹人造林生態、鳳梨的品種，到了520公尺便會停下來，讓人休息、下來走走，看看美麗的夢幻湖，留下美好的回憶。臨走前，不妨帶上新鮮好吃的鳳梨或農特產品回家吧！,886-9-21287837,花蓮縣978瑞穗鄉,花蓮縣,瑞穗鄉,,09:00-17:00,搭上富興森林小火車欣賞一望無際的田園景觀,121.3995,23.58095,,園區免費1.搭乘小火車一次：$100元2.搭小火車+DIY體驗：$250元※實際價格依現場為主,,,"['鳳梨', '富興', '社區', '軌道', '坐著', '公尺', '小火', '拍照', '幸福', '酸酸甜甜', '土鳳梨產地', '鳳梨產', '季時', '一顆', '顆飽滿', '輕軌', '車經過', '無際', '鳳梨田', '樹林', '沿著', '抵達', '終點', '農耕車', '牽引', '列車', '當地', '著富興', '參觀', '哪兒', '號房', '攝地', '最後再', '大口品', '土鳳梨', '金鑽鳳', '產地', '鮮採', '全長', '1314', '情侶', '出遊', '邊聽司', '機介紹', '生態', '品種', '520', '便會', '下來', '美麗']"
114,114,東里車站與東里鐵馬驛站,,每天平均約20人進出的東里車站，看似不起眼，卻被譽為「山線最美的車站」，一走進月台便被眼前的美景所吸引，整片無邊無際的綠色稻田映在眼前，小小的東里車站被圍繞在田野間，壯觀令人驚呼不已的田園景緻，深深吸引不少遊客前來探訪。東里鐵馬驛站前身為舊東里車站，也是玉富自行車道北上的起點，兩旁無垠的阡陌景致，是許多自行車友必拜訪站點之一，而東里鐵馬驛站中仍保留早期月台的風貌，舊時的復古情懷，加上花東縱谷的招牌景色，讓人能夠邊騎自行車邊欣賞田園美景。當太陽升起，陽光灑落在稻田上，翠綠的秧苗隨風搖曳，一波波綠色稻浪映入眼簾，再隨著季節變化，稻田由綠轉黃，空氣間瀰漫著稻香，騎著單車經過兩旁隨風搖擺的金色稻浪，細細感受東里車站與東里鐵馬驛站的靜謐與稻田的絕美風景。,886-3-8882020,花蓮縣983富里鄉大莊路211號,花蓮縣,富里鄉,,全天,東里鐵馬驛站為玉富自行車道北上的起點，讓人能邊騎車邊欣賞美景,121.30413,23.2689,,免費,東里鐵馬驛站電話：03-8861090春夏欣賞綠色的稻田，春耕有花海，金色稻浪為5月下旬至6月；10月下旬至12月,,"['東里車', '東里', '鐵馬', '稻田', '稻浪', '綠色', '田園', '兩旁', '自行', '月台', '美景', '吸引', '眼前', '20', '進出', '山線', '車站', '一走進', '無邊', '無際', '圍繞', '壯觀', '驚呼', '遊客', '前來', '探訪', '玉富', '車道', '起點', '無垠', '許多', '車友', '必拜訪', '站點', '風貌', '舊時', '古情', '花東', '縱谷', '能夠', '邊騎', '車邊', '欣賞', '當太陽', '陽光灑', '翠綠', '隨風搖曳', '眼簾', '隨著', '季節']"
115,115,玉富自行車道,,長約10公里的玉富自行車道，為「亞洲唯一‧世界唯二」橫跨兩個板塊的自行車道，起點從玉里到富里的東里鐵馬驛站，沿途視野十分遼闊，兩旁伴隨著無垠的阡陌景觀，騎在舊鐵道改建的車道上，經過橫跨歐亞大陸板塊與菲律賓海板塊的秀姑巒大橋，享受腳跨兩個板塊的驚奇感！玉富自行車道前身為從玉里到富里的舊東線鐵道，因受到歐亞大陸板塊與菲律賓海板塊擠壓的緣故，每年約長高2-3公分，因此2007年臺鐵改線之後，這條舊鐵道改建為玉富自行車道，成為獨一無二會長高的自行車道。坡度平緩、景色宜人的玉富自行車道，不僅適合親子出遊騎鐵馬，也是在地人運動的好地方，讓人欣賞隨著四季變化而有所不同田園的景觀。玉富自行車道路線圖,886-3-8875306,花蓮縣981玉里鎮,花蓮縣,玉里鎮,,全天,玉富自行車道也是在地人運動的好地方,121.31115,23.32871,,,騎程時間：約1小時(視個人騎乘速度而定)由舊鐵道改建而成，坡度平緩，但路幅較窄，行進時要小心周邊的高低差喔！,,"['車道', '自行', '玉富', '板塊', '橫跨', '兩個', '從玉里', '富里', '隨著', '景觀', '鐵道', '歐亞大陸', '菲律', '賓海板', '改建', '10', '亞洲', '唯二', '起點', '東里', '鐵馬', '視野', '遼闊', '兩旁伴', '無垠', '經過', '姑巒', '大橋', '驚奇感', '東線', '約長', '2007', '改線', '這條', '舊鐵道', '為玉富', '成為', '獨一無二會長', '平緩', '不僅', '適合', '親子', '出遊', '騎鐵馬', '地人', '運動', '人欣賞', '變化', '田園', '線圖']"
118,118,吉安慶修院,,玩樂攻略-為花蓮縣定三級古蹟-目前臺灣保存最完整的日式寺院-欣賞請自日本四國的八十八尊石佛-必看以日式傳統建築工法「寶形造」建設的佛堂 大眾運輸點此連結&gt;&gt;&gt;台灣好行-縱谷花蓮線資訊(時刻表/票價表)無障礙公車預約&gt;&gt;&gt;&gt;台灣好行無障礙預約資訊清淨口舌與身心的手水舍、古意質樸的佛堂、莊嚴肅穆的八十八尊石佛，以及充滿禪意的枯山水，讓人彷彿走入日本佛寺般，不禁沉浸在寧靜安詳的氛圍中，這裡是吉安慶修院，為日治時期川端滿二為了撫慰移民而建設的佈道所，是一座花蓮縣定三級古蹟，也是現今台灣保存最完整的日式寺院。心靈的寄託與八十八尊石佛吉安在日治時期被稱作吉野，是花蓮相當有名的移民村，在大正六年（1917年），川端滿二募建了這座「真言宗高野山派吉野布教所」，希望以...,886-3-8535479,花蓮縣973吉安鄉吉安村中興路345之1號,花蓮縣,吉安鄉,,週二至週日 08:30~17:00 (週一休館),吉安慶修院入口處,121.56471,23.97369,,1.全票30元2.半票、團體票(20人以上)15元3.設籍花蓮鄉親免費入園、持身心障礙手冊者加一位陪同免費入園,,,"['gt', '十八尊', '花蓮', '台灣', '日式', '石佛', '縣定', '三級', '建設', '好行', '資訊', '無障礙', '預約', '吉野', '佛堂', '吉安', '寺院', '移民', '完整', '保存', '高野山', '必看', '川端', '玩樂', '欣賞', '四國', '傳統', '建築', '工法', '寶形造', '大眾', '運輸點', '此連結', '縱谷', '花蓮線', '時刻表', '票價表', '公車', '清淨', '手水舍', '質樸', '莊嚴', '肅穆', '充滿', '禪意', '寧靜安詳', '氛圍', '這裡', '日治時', '期川端']"
